City,Median Income,State,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
Independence,51311,Missouri,117433,4.3,36.6,108.1,308.3,"1,067","4,356.5",666.8,457.3,"6,090.3"
Lee's Summit,40435,Missouri,91840,0.0,14.2,26.1,78.4,286.4,"1,912.0",117.6,118.7,"2,316.0"
O'Fallon,34714,Missouri,80670,2.5,6.2,5.0,78.1,155.0,"1,363.6",26.0,91.7,"1,544.6"
St. Charles,31316,Missouri,66723,1.5,10.5,34.5,104.9,332.7,"2,492.4",95.9,151.4,"2,921.0"
St. Joseph,28196,Missouri,77330,1.3,28.4,117.7,270.3,"1,284.1","4,324.3",479.8,417.7,"6,088.2"
Springfield,79707,Missouri,160962,9.9,87.6,219.3,674.7,"1,376.1","6,981.8",652.9,991.5,"9,010.8"
Billings,52878,Montana,106371,2.8,35.7,63.9,245.4,745.5,"3,391.9",386.4,347.8,"4,523.8"
Missoula,35775,Montana,67758,0.0,36.9,48.7,240.6,557.9,"3,775.2",155.0,326.2,"4,488.0"
North Las Vegas,92288,Nevada,221884,6.3,32.9,175.3,549.4,701.7,"1,362",430.4,763.9,"2,494.1"
Reno,114623,Nevada,230486,3.0,14.3,141.9,357.9,708.5,"2,129.8",382.2,517.2,"3,220.6"
Sparks,41595,Nevada,92387,1.1,34.6,73.6,144.0,659.2,"1,850.9",259.8,253.3,"2,769.9"
Manchester,50053,New Hampshire,110040,0.9,65.4,186.3,314.4,771.5,"2,588.1",137.2,567.1,"3,496.9"
Nashua,36451,New Hampshire,86870,0.0,42.6,55.3,137.0,431.7,"2,189.5",96.7,234.8,"2,717.9"
Bayonne,30335,New Jersey,64036,0.0,9.4,64.0,132.7,320.1,874.5,81.2,206.1,"1,275.8"
Camden,27511,New Jersey,77665,86.3,95.3,972.1,"1,412.5","1,402.2","2,850.7",906.5,"2,566.1","5,159.3"
Clifton,31968,New Jersey,84684,0.0,15.4,94.5,107.5,422.7,"1,275.3",166.5,217.3,"1,864.6"
East Orange,30360,New Jersey,64682,7.7,34.0,219.5,301.5,539.6,739.0,522.6,562.8,"1,801.1"
Elizabeth,45491,New Jersey,126281,11.1,29.3,423.7,333.4,781.6,"1,739.8",924.1,797.4,"3,445.5"
Passaic,21234,New Jersey,70237,8.5,2.8,330.3,388.7,625.0,"1,228.7",223.5,730.4,"2,077.3"
Paterson,51969,New Jersey,147148,14.3,15.0,580.4,445.1,"1,100.3","1,436.6",616.4,"1,054.7","3,153.3"
Trenton,32131,New Jersey,85317,28.1,27.0,676.3,734.9,"1,513.2","1,155.7",549.7,"1,466.3","3,218.6"
Union City,25001,New Jersey,67518,1.5,3.0,157.0,208.8,356.9,"1,319.6",197.0,370.3,"1,873.6"
Las Cruces,50409,New Mexico,99824,5.0,56.1,70.1,263.5,992.7,"3,219.7",214.4,394.7,"4,426.8"
Rio Rancho,42054,New Mexico,89462,2.2,25.7,23.5,174.4,406.9,"1,548.1",173.3,225.8,"2,128.3"
Santa Fe,42397,New Mexico,68751,2.9,21.8,158.5,298.2,"2,773.8","2,641.4",253.1,481.4,"5,668.3"
Albany,44875,New York,98187,4.1,43.8,253.6,515.3,903.4,"3,359.9",156.8,816.8,"4,420.1"
Mount Vernon,27369,New York,68146,14.7,20.5,330.2,534.1,475.4,"1,300.1",198.1,899.5,"1,973.7"
New Rochelle,29052,New York,78025,0.0,3.8,116.6,111.5,230.7,"1,475.2",83.3,232.0,"1,789.2"
Rochester,91471,New York,211993,17.0,52.8,385.4,520.8,"1,404.8","3,624.2",293.4,976,"5,322.3"
Schenectady,28730,New York,66631,10.5,48.0,298.7,582.3,"1,215.7","2,815.5",213.1,939.5,"4,244.3"
Syracuse,60652,New York,145934,9.6,51.4,311.1,568.1,"1,299.2","2,534",261.8,940.2,"4,095"
Yonkers,79190,New York,198464,2.0,14.1,212.6,342.1,269.6,906.5,116.4,570.9,"1,292.4"
Asheville,39811,North Carolina,85295,7.0,38.7,165.3,284.9,869.9,"4,492.6",393.9,495.9,"5,756.5"
Cary,71248,North Carolina,141016,0.0,7.8,20.6,53.2,262.4,"1,046.7",44.7,81.6,"1,353.7"
Durham,127514,North Carolina,235563,8.9,26.7,261.1,429.2,"1,394.1","2,670.6",298.9,725.9,"4,363.6"
Fayetteville,83410,North Carolina,205966,10.7,34.0,271.9,259.3,"1,995","4,028.8",367.1,575.8,"6,390.9"
Gastonia,33496,North Carolina,72782,1.4,39.8,215.7,361.4,"1,343.7","4,224.9",273.4,618.3,"5,842.1"
Greenville,41037,North Carolina,86869,8.1,26.5,194.5,294.7,"1,300.8","2,988.4",137.0,523.8,"4,426.2"
High Point,45442,North Carolina,106801,4.7,17.8,173.2,324.9,"1,112.3","2,755.6",267.8,520.6,"4,135.7"
Wilmington,59730,North Carolina,109370,7.3,21.0,238.6,298.1,"1,548.9","3,513.8",341,565.1,"5,403.7"
Winston-Salem,107693,North Carolina,234687,2.6,31.5,182.4,446.6,"1,929.8","3,617.6",290.6,663,"5,838"
Bismarck,34598,North Dakota,64103,1.6,48.4,25.0,265.2,499.2,"2,374.3",160.7,340.1,"3,034.2"
