states,cities,population,murder,rape,robbery,agrv_assault,burglary,larceny,vehicle_theft,violent_crime,prop_crime
California,Chula Vista,249830,3.2,13.2,90.9,125.3,370.7,"1,262.1",401.1,232.6,"2,033.8"
Tennessee,Clarksville,137356,7.3,33.5,72.1,524.2,710.6,"1,891.4",121.6,637,"2,723.6"
Florida,Clearwater,109255,2.7,54.0,188.5,420.1,841.2,"2,900.6",161.1,665.4,"3,902.8"
Missouri,Columbia,110646,2.7,37.1,146.4,244,708.6,"2,977.1",129.2,430.2,"3,814.9"
Georgia,Columbus,196178,8.7,15.8,215.6,266.6,"1,380.9","3,930.6",431.2,506.7,"5,742.7"
California,Concord,125205,0.0,15.2,122.2,183.7,662.1,"2,151.7",526.3,321.1,"3,340.1"
Florida,Coral Springs,125021,0.8,8.0,62.4,112,457.5,"1,678.1",120,183.2,"2,255.6"
California,Corona,157342,0.6,10.8,64.8,57.2,547.2,"1,758",327.9,133.5,"2,633.1"
California,Costa Mesa,112635,3.6,28.4,73.7,119.9,593.1,"2,707.9",320.5,225.5,"3,621.4"
California,Daly City,103311,0.0,8.7,73.6,126.8,382.3,"1,114.1",248.8,209.1,"1,745.2"
Iowa,Davenport,101193,4.0,39.5,149.2,404.2,879.5,"2,877.7",282.6,596.9,"4,039.8"
Ohio,Dayton,142139,16.9,78.8,445.3,432.7,"2,140.9","3,270.7",487.6,973.7,"5,899.2"
Texas,Denton,118942,0.8,72.3,68.9,168.1,531.4,"2,079.2",132,310.2,"2,742.5"
Iowa,Des Moines,207400,3.4,48.2,120.5,355.4,"1,212.2","3,333.7",377,527.5,"4,922.9"
California,Downey,113628,5.3,17.6,167.2,145.2,589.6,"1,679.2",844,335.3,"3,112.8"
North Carolina,Durham,235563,8.9,26.7,261.1,429.2,"1,394.1","2,670.6",298.9,725.9,"4,363.6"
New Jersey,Edison Township,101007,0.0,8.9,58.4,53.5,337.6,"1,018.7",109.9,120.8,"1,466.2"
California,El Cajon,101864,2.0,23.6,144.3,188.5,484,"1,499.1",386.8,358.3,"2,369.8"
California,El Monte,115356,3.5,12.1,176.0,150.8,495,937.1,501.1,342.4,"1,933.1"
Illinois,Elgin,109155,1.8,61.4,69.6,102.6,327.1,"1,416.3",72.4,235.4,"1,815.8"
New Jersey,Elizabeth,126281,11.1,29.3,423.7,333.4,781.6,"1,739.8",924.1,797.4,"3,445.5"
California,Elk Grove,156344,0.6,12.8,60.8,253.3,431.1,"1,538.9",135.6,327.5,"2,105.6"
Pennsylvania,Erie,101972,7.8,62.8,168.7,209.9,"1,073.8","2,266.3",102,449.1,"3,442.1"
California,Escondido,147386,3.4,25.8,139.8,257.1,518.4,"1,604.6",514.3,426.1,"2,637.3"
Oregon,Eugene,158043,0.0,45.6,124.0,102.5,958.6,"3,830.6",275.2,272.1,"5,064.4"
Indiana,Evansville,118194,6.8,47.4,168.4,251.3,957.7,"3,833.5",355.3,473.8,"5,146.6"
Washington,Everett,105318,0.9,43.7,172.8,239.3,"1,106.2","4,064.8",921,456.7,"6,092"
California,Fairfield,107110,7.5,28.0,129.8,258.6,631.1,"2,001.7",464,423.9,"3,096.8"
North Dakota,Fargo,109813,1.8,62.8,41.9,252.2,410.7,"2,029.8",141.1,358.8,"2,581.7"
North Carolina,Fayetteville,205966,10.7,34.0,271.9,259.3,"1,995","4,028.8",367.1,575.8,"6,390.9"
Michigan,Flint,101632,62.0,106.3,662.2,"1,899","2,931.2","2,171.6",451.6,"2,729.5","5,554.4"
California,Fontana,200874,2.5,15.4,144.9,260.4,547.1,"1,189.3",500.8,423.2,"2,237.2"
Colorado,Fort Collins,148792,1.3,29.6,26.9,205,401.9,"2,271",95.4,262.8,"2,768.3"
Florida,Fort Lauderdale,170827,9.4,28.1,488.8,377,"1,727.5","3,757.6",345.4,903.3,"5,830.5"
California,Fremont,218927,0.9,6.4,60.3,72.2,537.2,"1,142.8",265.4,139.8,"1,945.4"
Texas,Frisco,123205,0.0,6.5,19.5,53.6,357.1,"1,650.1",43.8,79.5,"2,051.1"
California,Fullerton,138455,0.0,22.4,98.9,205.1,535.9,"2,074.3",233.3,326.5,"2,843.5"
Florida,Gainesville,127036,4.7,58.3,134.6,472.3,794.3,"3,111.7",188.1,669.9,"4,094.1"
California,Garden Grove,175079,0.6,9.1,77.1,163.9,434.7,"1,516.5",343.3,250.7,"2,294.4"
Texas,Garland,234984,3.0,20.0,100.4,106.4,943.9,"2,496.3",251.5,229.8,"3,691.7"
Arizona,Gilbert,214264,2.3,8.9,27.5,56.9,338.8,"1,164.9",76.5,95.7,"1,580.3"
Arizona,Glendale,232997,5.2,23.2,177.3,285.8,"1,221.9","4,662.3",525.3,491.4,"6,409.5"
California,Glendale,194902,0.0,3.1,55.4,61.1,264.7,"1,138",158.5,119.5,"1,561.3"
Texas,Grand Prairie,181782,0.6,27.5,88.0,158.4,714,"1,824.2",347.7,274.5,"2,885.9"
Michigan,Grand Rapids,189953,8.4,24.2,243.2,495.4,"1,009.2","2,333.7",141.1,771.2,"3,484"
Wisconsin,Green Bay,106080,0.9,41.5,82.0,360.1,621.2,"2,083.3",102.8,484.5,"2,807.3"
Oregon,Gresham,108202,3.7,30.5,191.3,224.6,818.8,"2,985.2",685.8,450.1,"4,489.8"
Virginia,Hampton,137905,6.5,11.6,105.9,103.7,549.7,"2,637.3",190,227.7,"3,377"
Connecticut,Hartford,125203,18.4,21.6,511.2,770.7,838.6,"2,769.1",640.6,"1,321.9","4,248.3"
California,Hayward,147424,4.1,31.2,232.0,148.6,752.3,"1,510.6",987.6,415.8,"3,250.5"
Florida,Hialeah,233107,1.7,17.2,111.5,217.1,449.6,"2,320.4",316.2,347.5,"3,086.1"
North Carolina,High Point,106801,4.7,17.8,173.2,324.9,"1,112.3","2,755.6",267.8,520.6,"4,135.7"
Florida,Hollywood,145313,3.4,26.2,191.3,221.6,"1,347.4","3,506.2",454.2,442.5,"5,307.9"
California,Huntington Beach,194677,1.5,15.9,42.6,100.7,409.4,"2,235.5",164.9,160.8,"2,809.8"
Alabama,Huntsville,183691,7.6,39.2,248.2,628.2,"1,178.6","3,476.5",386.5,923.3,"5,041.6"
